genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,Bonobo_Ppa,Chimp_Pt,AFR_hsa
GLT1D1,glycosyltransferase 1 domain containing 1,NA,1,chimp_only,NA,6.66,NA
GMDS,GDP-mannose 4%2C6-dehydratase,NA,1,chimp_only,NA,6.07,NA
GNG7,G protein subunit gamma 7,NA,1,chimp_only,NA,7.39,NA
GOLGA8B,golgin subfamily A member 8B,protein_coding,1,bonobo_only,9.08,NA,NA
GOLGA8G,putative golgin subfamily A member 8G,NA,1,chimp_only,NA,6.77,NA
GOLGA8IP,putative golgin subfamily A member 8I,protein_coding,1,bonobo_only,7.22,NA,NA
GPR158,NA,protein_coding,1,human_only,NA,NA,6.38753961
GRIN2A,NA,protein_coding,1,human_only,NA,NA,6.732447675
GRK1,G protein-coupled receptor kinase 1,protein_coding,1,bonobo_only,10.5,NA,NA
GRK3,G protein-coupled receptor kinase 3,protein_coding,1,bonobo_only,8.03,NA,NA
GRM3,glutamate metabotropic receptor 3,NA,1,chimp_only,NA,6,NA
HAGH,hydroxyacylglutathione hydrolase%2C mitochondrial,protein_coding,1,bonobo_only,6.55,NA,NA
HBA3-like,hemoglobin subunit alpha-3-like,NA,1,chimp_only,NA,7.51,NA
HBG2,NA,protein_coding,1,human_only,NA,NA,8.391848747
HCG22,protein PBMUCL2,NA,1,chimp_only,NA,8.26,NA
HDAC4,histone deacetylase 4,NA,1,chimp_only,NA,6.42,NA
HDGFL1,HDGF like 1,protein_coding,1,bonobo_only,7.61,NA,NA
HLA-DOA,NA,protein_coding,1,human_only,NA,NA,6.567130871
HLA-DPA1,NA,protein_coding,1,human_only,NA,NA,17.12730003
HLA-DQB3,NA,unprocessed_pseudogene,1,human_only,NA,NA,16.49803321
HLA-DRA,NA,protein_coding,1,human_only,NA,NA,8.814333454
HLA-DRB9,NA,transcribed_unprocessed_pseudogene,1,human_only,NA,NA,14.60154614
HLA-F,major histocompatibility complex%2C class I%2C F,NA,1,chimp_only,NA,6.23,NA
HNRNPCL2,heterogeneous nuclear ribonucleoprotein C-like 2,protein_coding,1,bonobo_only,6.91,NA,NA
HNRNPCL3,heterogeneous nuclear ribonucleoprotein C-like 3,protein_coding,1,bonobo_only,6.39,NA,NA
HS3ST2,heparan sulfate-glucosamine 3-sulfotransferase 2,NA,1,chimp_only,NA,6.55,NA
IGFALS,insulin like growth factor binding protein acid labile subunit,protein_coding,1,bonobo_only,6.55,NA,NA
IGFBP7,NA,protein_coding,1,human_only,NA,NA,6.380934377
IGKJ1,NA,IG_J_gene,1,human_only,NA,NA,7.207771084
IGKJ2,NA,IG_J_gene,1,human_only,NA,NA,7.207771084
IGKJ3,NA,IG_J_gene,1,human_only,NA,NA,7.207771084
IGLVI-56,NA,IG_V_pseudogene,1,human_only,NA,NA,6.613183987
IGLVIV-59,NA,IG_V_pseudogene,1,human_only,NA,NA,7.413220006
INPP4B,inositol polyphosphate-4-phosphatase type II B,protein_coding,1,bonobo_only,7.42,NA,NA
INPP5A,inositol polyphosphate-5-phosphatase A,NA,1,chimp_only,NA,8.45,NA
INSR,insulin receptor,NA,1,chimp_only,NA,6.02,NA
IQCG,IQ motif containing G,protein_coding,1,bonobo_only,10.74,NA,NA
IRF2,interferon regulatory factor 2,protein_coding,1,bonobo_only,7.3,NA,NA
ITPR1,inositol 1%2C4%2C5-trisphosphate receptor type 1,protein_coding,1,bonobo_only,6.18,NA,NA
JAKMIP1,janus kinase and microtubule interacting protein 1,NA,1,chimp_only,NA,6.07,NA
JAKMIP3,Janus kinase and microtubule interacting protein 3,NA,1,chimp_only,NA,7.54,NA
JPH3,junctophilin 3,NA,1,chimp_only,NA,6.06,NA
KCNIP1,potassium voltage-gated channel interacting protein 1,protein_coding,1,bonobo_only,6.76,NA,NA
KIF26B,kinesin family member 26B,NA,1,chimp_only,NA,11.96,NA
KIR3DX1,killer cell immunoglobulin-like receptor%2C three domains%2C X1,NA,1,chimp_only,NA,6.21,NA
KLRC4,killer cell lectin like receptor C4,NA,1,chimp_only,NA,6.25,NA
KLRD1,killer cell lectin like receptor D1,NA,1,chimp_only,NA,6.29,NA
KPRP,keratinocyte proline-rich protein-like,protein_coding,1,bonobo_only,6.56,NA,NA
KRT128P,NA,unprocessed_pseudogene,1,human_only,NA,NA,6.821142305
LGALS8,NA,protein_coding,1,human_only,NA,NA,7.267064541
LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,NA,1,chimp_only,NA,6.14,NA
LILRB4,leukocyte immunoglobulin like receptor B4,NA,1,chimp_only,NA,6.46,NA
LILRB5,leukocyte immunoglobulin like receptor B5,protein_coding,1,bonobo_only,7.09,NA,NA
LINC00525,NA,lncRNA,1,human_only,NA,NA,6.597433794
LINC00987,NA,lncRNA,1,human_only,NA,NA,6.834137074
LINC01015,NA,lncRNA,1,human_only,NA,NA,6.70128271
LINC01606,NA,lncRNA,1,human_only,NA,NA,6.406108043
LINC02240,NA,lncRNA,1,human_only,NA,NA,6.820350319
LINC02346,NA,lncRNA,1,human_only,NA,NA,7.327458632
LINC02571,NA,lncRNA,1,human_only,NA,NA,18.338903
LINC02646,NA,lncRNA,1,human_only,NA,NA,6.414583725
LOC117976337,phospholipase A2-like,protein_coding,1,bonobo_only,8.6,NA,NA
LOC129393016,protein CASP-like,protein_coding,1,bonobo_only,7.3,NA,NA
LOC129393260,uncharacterized LOC129393260,protein_coding,1,bonobo_only,6.14,NA,NA
LOXL2,NA,protein_coding,1,human_only,NA,NA,7.813549217
LOXL2-AS1,NA,lncRNA,1,human_only,NA,NA,6.91201481
LPCAT1,lysophosphatidylcholine acyltransferase 1,protein_coding,1,bonobo_only,6.19,NA,NA
LRRTM3,NA,protein_coding,1,human_only,NA,NA,7.428194589
LRRTM4,leucine rich repeat transmembrane neuronal 4,protein_coding,1,bonobo_only,8.56,NA,NA
LUZP2,leucine zipper protein 2,protein_coding,1,bonobo_only,7.31,NA,NA
LYRM4,LYR motif containing 4,protein_coding,1,bonobo_only,7.44,NA,NA
